YearMonth,Topic,Xval,Yval,Popularity,Xleg,Yleg,Legpop
January,1,10,10,800,50,10,133
February,1,10,10,132,50,10,380
March,1,10,10,942,50,10,510
April,1,10,10,42,50,10,976
May,1,10,10,405,50,10,975
June,1,10,10,635,50,10,974
July,1,10,10,808,50,10,520
August,1,10,10,65,50,10,559
September,1,10,10,59,50,10,812
October,1,10,10,128,50,10,176
November,1,10,10,9,50,10,479
December,1,10,10,719,50,10,747
January,2,20,20,82,40,20,933
February,2,20,20,351,40,20,521
March,2,20,20,330,40,20,472
April,2,20,20,805,40,20,645
May,2,20,20,840,40,20,926
June,2,20,20,694,40,20,859
July,2,20,20,721,40,20,939
August,2,20,20,782,40,20,567
September,2,20,20,71,40,20,789
October,2,20,20,43,40,20,171
November,2,20,20,510,40,20,423
December,2,20,20,916,40,20,266
January,3,30,30,519,30,30,12
February,3,30,30,600,30,30,914
March,3,30,30,627,30,30,186
April,3,30,30,272,30,30,536
May,3,30,30,979,30,30,768
June,3,30,30,499,30,30,230
July,3,30,30,60,30,30,440
August,3,30,30,802,30,30,566
September,3,30,30,77,30,30,799
October,3,30,30,401,30,30,30
November,3,30,30,985,30,30,74
December,3,30,30,194,30,30,27
January,4,40,40,512,20,40,441
February,4,40,40,667,20,40,81
March,4,40,40,883,20,40,290
April,4,40,40,92,20,40,176
May,4,40,40,912,20,40,924
June,4,40,40,464,20,40,126
July,4,40,40,863,20,40,770
August,4,40,40,637,20,40,853
September,4,40,40,838,20,40,329
October,4,40,40,350,20,40,377
November,4,40,40,551,20,40,189
December,4,40,40,58,20,40,675
January,5,50,50,232,10,50,734
February,5,50,50,167,10,50,551
March,5,50,50,523,10,50,30
April,5,50,50,844,10,50,553
May,5,50,50,188,10,50,507
June,5,50,50,355,10,50,517
July,5,50,50,841,10,50,786
August,5,50,50,614,10,50,49
September,5,50,50,794,10,50,210
October,5,50,50,979,10,50,218
November,5,50,50,782,10,50,334
December,5,50,50,623,10,50,706
